job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
AI specialist,,Fresko,"Miami, FL",Remote,,"Experience with deep learning-based product development.
Strong background in deep learning and serious understanding of state-of-the-art DL / DRL techniques.",5 days ago,2021-01-15,https://www.indeed.com/company/Fresko/jobs/Ai-Specialist-0008f6504ce3f1b5?fccid=95201c0c4a4a67e2&vjs=3
"Technical Development Program (TLP), Machine Learning Full-Time 2021 (Miami)",,Restaurant Brands International Campus Opportuniti...,"Miami, FL",,3.2,Follow machine learning model management and life-cycle best practice for all Artificial Intelligence and Machine Learning models created.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=be2b0f2dc7e14fda&fccid=1bf77f1dd2c2631f&vjs=3
AI Research Engineer,,Exscientia,"Miami, FL",,,Familiarity with major machine learning frameworks such as scikit-learn or PyTorch for building machine learning models and deep neural network architectures.,15 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=230a8e753ff3e9ce&fccid=5e6ed086be5ae8fc&vjs=3
Customer Engineer - Active Directory Engineer,"$68,739 - $89,000 a year",JDA Technical Services Group,United States,Temporarily remote,4.3,"Understand risks associated with Domain Controllers has virtual machines.
CE’s are some of the most distinguished & highly accredited engineers in the world.",29 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BHUG_3ayLhII14Y5cvDVfdL_mMdinyvrblje7frGdMn6-Ntgf7wBbIyKL6hF8p2lB8nZy0NtPEz3RGhmOGvtcjMozvXrWtqHr416SbSwGldl0dg60Jz8T9uX7I2TM6jBIBDUnC4capB0uBkV9FEQuH6gHx9zq2OBsV-wgdyoKwQt6qz5EiXxN0x9kt70xk8D4eQpmJ5ZkTha9P-2rP_gNKBQlXBViJK0NTWPHtCOG-GPm_fqVv_GezpMqkJsXYQDgXC4bfTFKodhyRk6qpZ2s7KUvzwgz4L-6GVUc_3X_0SUdy91jibD28EytMjalxfFECwdTHDoA5lFLB5oASfUDuxZAwgTfTknxN1gTyxff3W32nRS4WMZJgg4nsD-KCUGBAW9OUvEqvso01eCejKYzjOZ-aKVP0cfPL1Yn21otzTHTmX4EBt23GCjYevGmu1DnUsuZ8mA_81eu_kGPcWewC3NMQtFIsvqFpaJ0iAhpDCA==&p=3&fvj=1&vjs=3
"DIGITAL SIGNAL PROCESSING ENGINEER (APG, MARYLAND)","$100,000 - $140,000 a year",Darkblade Systems Corporation,"Miami, FL",,,"Seeking a Radio Frequency (RF), Communications, and Digital Signal Processing (DSP) Software Engineer to support Software Defined Radio (SDR) application…",7 days ago,2021-01-15,https://www.indeed.com/company/Darkblade-Systems-Corporation/jobs/Digital-Signal-Processing-Engineer-216be13f7f47b505?fccid=5dfd604c14fce23d&vjs=3
Cheminformatics Research Engineer,,Exscientia,"Miami, FL",,,Experience with major machine learning frameworks such as scikit-learn or PyTorch for building predictive models.,15 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c7bd793db8301ede&fccid=5e6ed086be5ae8fc&vjs=3
Machine Learning Developer,,Viramar Worldwide,"Fort Lauderdale, FL",,,"4 or more years of hands-on experience developing big data, machine learning, and/or AI applications.
The Machine Learning Developer will work with a team of…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e0f2b7fae2d3a86c&fccid=5b7359346506364a&vjs=3
Support Agent,,WheelHouse IT,"Fort Lauderdale, FL",,3.3,"Resolving simple or fast tickets on the spot (the longer you’re with us, the more frequent this will become).
Setup and configuration of hardware.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3002cabd3aef043f&fccid=1ec5607658298974&vjs=3
Head of Data Science,,REEF,"Miami, FL",,3.3,Work closely with the product and development teams including data engineers and machine learning engineers to build lasting solutions.,11 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=54ab8710025fd39d&fccid=7aceedc6cd872b57&vjs=3
EDU Software Engineer- Remote,,Splunk,"Miami, FL",Remote,4.1,"Understanding of machine and application logs.
Tasks include working on technologies that deploy lab servers, mock machine data, integrate multiple API services…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=cb9f61ebf5a521fc&fccid=aef928e89977f7f0&vjs=3
Technical Solutions Engineer,,Teads,"Miami, FL",,,"Web and mobile complexity, we are trying to offer a similar user experience on a wide range of contexts (device, OS, browser, etc.).
Must be fluent in Spanish.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f4c88c1addd17d0d&fccid=5c7360a734fdfcd6&vjs=3
"BXTI - Liquids Technology, Data Engineer, Associate",,Blackstone Group,"Miami, FL",,3.7,"Proficiency in statistics and machine learning is a nice-to-have, and interest in learning these is even better!",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2bb49e1b81ef5c2b&fccid=73674b8cb10d94bb&vjs=3
Front Desk Concierge - Overnight,,Turnberry Ocean Colony,"Sunny Isles Beach, FL",,3.4,"Ability to operate fax machine, copier, telephone, personal computer, typewriter, calculator, adding machine, key machine, key card systems, golf cart, vacuum.",30+ days ago,2021-01-15,https://www.indeed.com/company/Turnberry-Ocean-Colony/jobs/Front-Desk-Concierge-a2c6b081ea1b4d46?fccid=538b1542d44ac7da&vjs=3
"2021 Summer Internship - Software Engineer, Mobile Computing",,Zebra Technologies,"Miramar, FL",,3.8,The purpose of this internship is to prepare college students for entry into the business world by providing a thorough understanding of the various functions…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=009a9a6c9f4c7411&fccid=cc39af3a7bb5a4d8&vjs=3
Senior Data Engineer (Option for Remote),,Custom Ink,"Miami, FL",Remote,3.4,"Machine learning or Predictive Modeling experience is a plus.
Identify gaps and weaknesses in our data stack and continue to guide learning advancements for the…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d6fd6b2c690a5440&fccid=7675e528c17ce6a4&vjs=3
Senior Data Engineer (Option for Remote),,Custom Ink,"Miami, FL",Remote,3.4,"Machine learning or Predictive Modeling experience is a plus.
Identify gaps and weaknesses in our data stack and continue to guide learning advancements for the…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d6fd6b2c690a5440&fccid=7675e528c17ce6a4&vjs=3
"Sales Account Executive, Enterprise",,Automation Anywhere,"Miami, FL",,3.5,"Past experience as sales engineer or in services is a material advantage.
Collaborate with our sales engineers to manage and execute Proof of Concept exercises…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=348ec984cef10d3f&fccid=ab744513af386474&vjs=3
Senior Cheminformatics Research Engineer,,Exscientia,"Miami, FL",,,"Experience with machine learning and major machine learning frameworks such as scikit-learn or PyTorch.
They are applied for example to create the best training…",15 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d9c410028e18a7a1&fccid=5e6ed086be5ae8fc&vjs=3
"2020-2021 - CIARA, Student IT Project Associate",$13 an hour,Florida International University,"Miami, FL",,4.3,"Ability to travel with network engineers to data centers in downtown Miami and Boca Raton.
The Center for Internet Augmented Research and Assessment (CIARA) at…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9a1f77e81e67a4f3&fccid=9d7d68aaaf164604&vjs=3
Engineer III,,Performance Hospitality,"Fort Lauderdale, FL",,2.2,"We offer an ongoing Performance Hospitality Leadership Series (PHLS, Weekly Webinars, e-learning courses).
Troubleshoot and repair malfunctions in mechanical or…",24 days ago,2021-01-15,https://www.indeed.com/company/PERFORMANCE-HOSPITALITY-MANAGEMENT/jobs/Engineer-8459d571ae5ddab6?fccid=a41bf1334b090a99&vjs=3
DevOps Engineer,,DADESYSTEMS,"Miami, FL",Remote,,"DadePay automatically matches payments and remittances to open invoices using patented technologies and machine learning, with updates to the companies’ ERP…",25 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=53828b4dc45dd16f&fccid=183261794139daf0&vjs=3
LEAD COMPUTER VISION ENGINEER,,VEEBOT SYSTEMS,"Miami, FL",,,"Apply machine learning to improve and continuously improve blood vessel identification.
Experience with applying machine learning, neural networks and/or…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a77676e1279a94be&fccid=05e7c54e3c6fc9ed&vjs=3
Devops Engineer,,Excel Impact,"North Miami, FL",,,"Our proprietary ImpactNavigation® platform technology utilizes machine learning, data science, and intelligent-marketing to guide & match interested customers…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a18468e1e41a2eff&fccid=33729ea3607d755a&vjs=3
Principal Cloud Consultant Consumer Packaged Goods - MIAMI,,"Amazon Web Services, Inc.","Miami, FL",,3.6,CPG Partners - Work with relevant partners/vendors to help lift-and-shift or re-engineer the existing solutions for AWS as appropriate based on customer’s…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=93863f2dedcab780&fccid=fe2d21eef233e94a&vjs=3
"Data Engineer, Enterprise Insights & Analytics",,Southern Glazer’s Wine and Spirits,"Miramar, FL",,3.6,"Commercial experience in Machine Learning / Deep learning techniques and frameworks.
The EIA Data Engineer has a strong foundation in data engineering with a…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=749b33004a5b647b&fccid=52a28443b9a60e8d&vjs=3
Product Marketing Director (Practitioner Marketing) - Remote,,Splunk,"Miami, FL",Remote,4.1,"7+ years experience in a technical marketing, developer evangelism or other practitioner role - prior experience as a SRE, Cloud engineer, DevOps engineer or…",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0fda6f1524ec6123&fccid=aef928e89977f7f0&vjs=3
Google Cloud Data Engineer,,Accenture,"Miami, FL",,4.0,"Creating and maintaining machine learning and statistical models.
Knowledge in machine learning algorithms especially in recommender systems.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2c159d06929115dc&fccid=a4e4e2eaf26690c9&vjs=3
"Software Engineer, Machine Learning",,Postmates,"Miami, FL",,3.0,"Good understanding of common families of machine learning models, feature engineering, feature selection and other practical machine learning issues, such as…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f393c14ae93e3963&fccid=724434d31cc1a378&vjs=3
"Senior Product Owner, COG Claims",,Chubb,"Miami, FL",,3.7,"Knowledge of machine learning, robotics is nice to have.
Prior release train engineer (RTE) experience and familiarity in a global company.",29 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c5ff37498994a273&fccid=0b74c73a7d280485&vjs=3
"Director, Data Science",,Chewy,"Fort Lauderdale, FL",,2.7,"Demonstrated practical knowledge in the areas of machine learning, deep learning, experimentation.
You will transform their ideas, preliminary findings, or…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ad473cbb14c9635d&fccid=b6add0e6a71f1008&vjs=3
Infrastructure DevOps Security Engineer -Solution Sr Consultant,,Deloitte,"Miami, FL",,4.0,He/she should be knowledgeable about potential vulnerabilities of virtual machines and container deployment systems.,7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3f07b63856ee8967&fccid=9e215d88a6b33622&vjs=3
"Senior Manager, Solution Architect – DAS Project Omnia",,Deloitte,"Miami, FL",,4.0,"Strong knowledge in Machine learning and AI.
Creates a culture that is based on knowledge sharing and learning from best practices.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=beac9b7d8ad26620&fccid=9e215d88a6b33622&vjs=3
